INFO 2024-03-05 20:02:14,429 basehttp 17892 4472 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:14,435 basehttp 17892 19616 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:02:14,444 basehttp 17892 14676 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 304 0
INFO 2024-03-05 20:03:03,784 basehttp 17892 14676 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 17167
INFO 2024-03-05 20:03:03,827 basehttp 17892 14676 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2024-03-05 20:03:03,841 basehttp 17892 19616 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2024-03-05 20:03:03,844 basehttp 17892 4472 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2024-03-05 20:03:03,851 basehttp 17892 2760 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:03:15,407 basehttp 17892 2760 "GET /xadmin/home/banner/ HTTP/1.1" 200 24049
INFO 2024-03-05 20:03:15,460 basehttp 17892 2760 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:03:23,753 basehttp 17892 2760 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 17167
INFO 2024-03-05 20:03:23,802 basehttp 17892 2760 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:03:32,244 basehttp 17892 2760 "GET /xadmin/home/banner/ HTTP/1.1" 200 24049
INFO 2024-03-05 20:03:32,304 basehttp 17892 2760 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:05:04,847 autoreload 1476 9892 Watching for file changes with StatReloader
INFO 2024-03-05 20:05:11,725 basehttp 1476 21000 "GET /xadmin/home/banner/ HTTP/1.1" 200 24049
INFO 2024-03-05 20:05:11,801 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:05:13,560 basehttp 1476 21000 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 17167
INFO 2024-03-05 20:05:13,607 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:05:54,070 basehttp 1476 21000 "GET /xadmin/ HTTP/1.1" 200 14368
INFO 2024-03-05 20:05:54,182 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:05:55,835 basehttp 1476 21000 "GET /xadmin/ HTTP/1.1" 200 14368
INFO 2024-03-05 20:05:55,968 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:06:04,657 basehttp 1476 21000 "GET /xadmin/home/banner/ HTTP/1.1" 200 24049
INFO 2024-03-05 20:06:04,708 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:06:06,810 basehttp 1476 21000 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 17167
INFO 2024-03-05 20:06:06,945 basehttp 1476 21000 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:08:11,198 autoreload 9988 16308 Watching for file changes with StatReloader
INFO 2024-03-05 20:11:44,128 autoreload 14040 20740 Watching for file changes with StatReloader
WARNING 2024-03-05 20:11:46,787 log 14040 18488 Not Found: /
WARNING 2024-03-05 20:11:46,788 basehttp 14040 18488 "GET / HTTP/1.1" 404 2208
